Listado Exhaustivo de Expositores Expoagro 2026,,,
Empresa,Rubro(s),Ubicación,Web / Redes Sociales
GOBIERNO ENTRE RIOS,"Artículos rurales, asociaciones",VIP Lounge,"entrerios.gov.ar / FB, X e IG: gobiernoER"
GOBIERNO CIUDAD BA,"Asociaciones, entidades e instituciones",Lote Aire Libre - 582,buenosaires.gob.ar / X e IG: desarrolloeconomicoba
GOBIERNO DE CORDOBA,Institución,Lote Aire Libre - 215,"cba.gov.ar / FB, X e IG: gobdecordoba"
GOBIERNO DE SALTA,"Asociaciones, entidades e instituciones",Lote Aire Libre - 221,salta.gov.ar / FB e IG: mproduccionymineriasalta / X: MdeProduccion
GOBIERNO SGO. ESTERO,"Asociaciones, comercio exterior",Lote Aire Libre - 1240,casadesantiago.gob.ar / FB: Procom01 / X: RRILYCOMEX
GOMERIA ALTAMIRANO,Neumáticos,Lote Aire Libre - 1504,gomeriasaltamirano.com.ar / FB e IG: gomeria.altamirano
GRANARIA SA,"Semillas, alimentos",Carpa 1 - A02,granaria.com.ar / FB e IG: granaria_sa
GRASS CUTTER,"Desmalezadoras, fertilizadoras, niveladoras",Lote Aire Libre - 1464,grasscutter.com.ar / FB: GrassCutter / IG: grasscutterargentina
GROSSPAL VIALCAM S.A,Fabricante maquinaria agrícola y viales,Lote Aire Libre - 1315,"grosspal.com / FB, X e IG: grosspaloficial"
GRÚAS SAN BLAS,Venta/alquiler maquinaria y grúas,Lote Aire Libre - 1432,gsb.com.ar / FB: Grúas San Blas / IG: gruassanblas
GRUPO ALEMOR S.R.L,"Agroindustria, pulverizadoras, consultoría",Lote Aire Libre - E38,grupoalemor.com / FB e IG: grupoalemor
GRUPO ANTELO,Automotrices,Lote Aire Libre - P94,grupoantelo.com.ar / FB e IG: grupoantelo
GRUPO CENCERRO,Asesoramiento y consultoría,Carpa 1 - G04,"grupocencerro.com / FB, X e IG: grupocencerro"
GRUPO KELSOFT,Tecnología,Espacio AgTech - AG30,grupokelsoft.com / IG: grupo_kelsoft
GRUPO PREMIERE,Construcción,Carpa 2 - 012,grupopremiere.com.ar / FB e IG: grupo_premiere
GUIA MANT. INDUSTRIAL,"Editorial, marketing digital",Carpa 2 - T04,gidemasrl.com / FB: gidemasrl / IG: Guiademantenimiento
HENAN BROAD TOP,"Acc. sembradoras, eq. industrial",Carpa 1 - G06,topmetalwork.com
HIDRAULICA PIRLES,"Hidráulico, fabricante, repuestos",Lote Aire Libre - 1427,hidraulicapirles.com.ar / FB e IG: hidraulicapirles
HONDA MOTOR ARG.,"Productos fuerza, motos, marina, autos",Lote Aire Libre - 1041,honda.com.ar / FB e IG: hondapfargentina
HOTEL COLONIAL S.N.,Hotelería,San Nicolás,hotelcolonialsannicolas.com / FB e IG: hotelcolonial_sannicolas
HUNTER INNOVATION,Energías renovables (heladeras 12V),Lote Aire Libre - E37,heladeras-12volts.com.ar / IG: heladeras_12volts
IAN SA,"Fabricante implementos, soldadura",Lote Aire Libre - 1553,ianmeturgica.com.ar / FB e IG: ian_metalurgica
ICBC ARGENTINA,"Bancos y servicios financieros, COMEX",Lote Aire Libre - 670,"pymes.icbc.com.ar / FB, X e IG: icbc.argentina"
IFC TECNO,"Ag. precisión, pulverización, Ag-Tech",Carpa 2 - 514,ifctecno.com.ar / FB e IG: ifctecno
IGRIEGA,Productos y máquinas viales,Carpa 1 - A01,igriega.com.ar / FB e IG: erectionconstruccion
IMPLEMENTOS KENTUCKY,Implementos agrícolas,Lote Aire Libre - 1552 B,IG: kentucky_implementos
IMPORTRADE SA,"Tractores, palas, viales",Lote Aire Libre - 1701,importrade.com.ar / FB e IG: importrade_sa
IND. JUAN F. SECCO S.A.,"Venta/alquiler maquinaria, motores, siderurgia",1423B / Carpa 1-J05,secco.com.ar / IG: secco.equipos
INDECAR MAQUINARIAS,Máquinas agrícolas,Lote Aire Libre - 540,indecar-agro.com.ar / FB e IG: indecarmaquinarias
ROSSMET SRL,"Repuestos, fabricante maquinaria, cabezales",Lote Aire Libre - 1231,rossmet.com.ar / FB e IG: rossmet srl
INDUSTRIAS COMOFRA,"Tolvas, mixers, embolsadora",Lote Aire Libre - 121,"comofrasrl.com.ar / FB, X e IG: comofrasrl"
INDUSTRIAS ERCA S.A.,"Máquinas agrícolas, sembradoras, rastras",Lote Aire Libre - 740,erca.com.ar / FB e IG: industrias.erca
JOHN DEERE ARGENTINA,"Máquinas agrícolas, ag. precisión",Lotes 130 a 160,"johndeere.com.ar / FB, X e IG: johndeereargentina"
INDUSTRIAS MONTECOR,"Máquinas agrícolas, ganadería, tolvas",Lote Aire Libre - 1120,"industriasmontecor.com.ar / FB, X e IG: indmontecar"
INDUSTRIAS PESCE S.A.,"Fabricante, implementos, rastras",Lote Aire Libre - 1261,industriaspesce.com.ar / FB e IG: Industriaspesce
INDUSTRIAS TANGO,"Fabricante, implementos agrícolas",Sector Ganadería - 1927,industriastango.com.ar / IG: industriastango
ING. ALEJANDRO PANNUNZIO,"Riego, asesoramiento y consultoría",Carpa 1 - C02,ingenieria-en-riego.com / X e IG: alepannunzio
INGERSOLL ARGENTINA,"Agropartes, repuestos, exportaciones",Carpa 1 - C08,ingersollarg.com.ar / X e IG: ingersollarg
INSTRUMENTAL PASTEUR,"Lab. agroindustrial, software pesaje",Carpa 2 - 006,instrumentalpasteur.com.ar / FB e IG: instrumentalpasteur
INVERSION B 5.A.,"Implementos agrícolas, fabricante maquinaria",Lote Aire Libre - M09,planbmaquinarias.ar / FB: Bettiga.Enrique / IG: bunker_agro
IPCVA,"Asociaciones, ganadería, institución",Sector Ganadería - 1912,"ipcva.com.ar / FB, X e IG: ipcva"
IPERNET,"Energía solar, video vigilancia IP",Sector Ganadería - 1940,ipernet.com.ar / IG: grupoipernet
IPESASILO,"Silobolsas, industria, agroindustria, insumos",Lote Aire Libre - 800,"ipesasilo.com.ar / FB, X e IG: ipesasiloarg"
IRRINOR SISTEMAS RIEGO,"Riego, tubos y accesorios",Plaza Seca - AG35,irrinor.com.ar / IG: irrinor
IVECO ARGENTINA SA,"Camiones, automotrices",Lote Aire Libre - 1450,"iveco.com.ar / FB, X e IG: IvecoArgentina"
JACTO ARGENTINA,Fabricante de maquinaria agrícola,Lote Aire Libre - 400,"jacto.com / FB, X e IG: jactoargentina"
JAUREGUI LORDA-HACIENDA,Ganadería,Sector Ganadería - 1933,jaureguilorda.com.ar / IG: jauregui_lorda
JORNADEROSAGRO,"Asociaciones, educación, administración",Carpa Agropampero,jornaderos.com / FB e IG: jornaderosagro
VÍCTOR JURI,"Sembradoras, fertilizadoras, fabricante",Lote Aire Libre - 310,"victorjuri.com.ar / FB, X e IG: ind_victorjuri"
KAESER COMPRESORES,"Herramientas, maquinaria, alquiler",Lote Aire Libre - 1424 B,kaeser.com.ar / IG: kaeserargentina
KAFÚ METALURGICA SRL,Implementos agrícolas y forestales,Lote Aire Libre - E22,FB e IG: metalurgicakafu
KRASTER ARGENTINA,"Eq. ganadero, galpones, instalaciones",Sector Ganadería - 1935,kraster.com.ar / FB e IG: krasterargentina
KUBOTA,"Tractores, implementos, forrajes",Lote Aire Libre - 821,kubota.com.ar / FB e IG: kubotaargentina
LUIS ANGEL LANCIONI SRL,"Máquinas agrícolas, fertilizadoras, forrajes, tractores",Lote Aire Libre - 1330,luisangellancioni.com.ar / FB: Luis Angel Lancioni SRL / IG: lancionisrl
LA PIPIOLA SELLADORAS,"Herramientas, silobolsa",Carpa 1 - F04,lapipiola.com.ar / selladorasilobolsa.com.ar
LA RED RURAL,Medios de comunicación,Lote Aire Libre - M17,pampanuestra.com.ar
LDC-LOUIS DREYFUS,"Exportaciones, insumos",Plot - N65,ldc.com/ar/es / FB e IG: mundomacroldc / X: WeAreLDC
LEAF AGROTRONICS,"Agricultura de precisión, tecnología",Lote Aire Libre - 420,leafagrotronics.com / FB e IG: leaf.agrotronics
LINDSAY IRRI-AR S.A.,Equipos y sistemas de riego,Lote Aire Libre - 1149,irri-ar.com.ar / IG: irri.ar
LONERA TASZTEX,"Eq. ganadero, comederos, tanques",Sector Ganadería - 1822,tasztex.com / FB: lonera tasztex / X: Tasztex / IG: lonerafasztex
LOPEZ GROUP,"Repuestos, embragues, consultoría, filtros",Carpa 2 - T10,lopezfrenos.com / FB e IG: lopezfrenosyembragues
LS ELECTROMECANICA S.A.,"Fabricante, tecnología, granos",Carpa 1 - G10,ls-arg.com / FB e IG: Is_electromecanica_sa
LSEG,Servicios,Espacio AgTech - AG34,No especificada
LUBRIFILM,"Filtros y lubricantes, agroindustria, tanques",Lote Aire Libre - E16,lubrifilmgroup.com / FB e IG: lubrifilmgroup
LUCAS MONTI,"Gastronomía, alimentos, bebidas",Gastronomía,"FB, X e IG: riminicaffebar"
LÜSQTOFF,"Herramientas, construcción, máquinas agrícolas",Lote Aire Libre - E23,lusqtoff.com.ar / FB e IG: lusqtoff
M2 DESARROLLOS INMOB.,Construcción,Lote Aire Libre - 1460,m2desarrollos.com.ar / FB e IG: m2_desarrollos
MACHVISION,"Tecnología, ag. precisión",Espacio AgTech - AG33,machvision.com.ar / FB e IG: Machvision
MAGRIBA,"Asociaciones, fab. maquinaria, agropartes",Centro Agropampero,magriba.com.ar / FB e IG: Magriba
MAINERO,"Máquinas agrícolas, mixers, cabezales, henificación",Lote Aire Libre - 1020,mainero.com / FB e IG: maineromaquinariaagricola
MAIZAR,"Asociaciones, entidades e instituciones",Entidad,"maizar.org.ar / FB, X e IG: maizararg"
MAIZCO S.A.I. Y C.,"Implementos, máquinas, cabezales",Lote Aire Libre - 1141,maizco.com.ar / FB e IG: maizco_oficial
MANN-FILTER ARGENTINA,Filtros maquinaria agrícola y motores,Lote Aire Libre - 968,mann-filter.com/ar-es / FB e IG: mannfilter_conosur
MÁQUINAS AGRÍCOLAS OMBU,"Tolvas, cabezales, pulverizadoras, remolques",Lote Aire Libre - 530,maquinasombu.com.ar / FB e IG: maquinasombu
MARCELINI,"Acoplados transporte maquinaria, remolques",Lote Aire Libre - 1060,marcelini.com.ar / FB e IG: industriasmarcelini
MARINELLI TECHNOLOGY,"Tecnología, drones, electrónica, Ag-Tech",Lote Aire Libre - 963,"marinellitechnology.com.ar / FB, X e IG: Marinellitech"
MARTÍN ERRAZQUIN,"Máquinas agrícolas, granos",Lote Aire Libre - 962,IG: errazquinartin
MARTINEZ Y STANECK S.A.,"Máquinas agrícolas, mixers, embolsadora",Lote Aire Libre - 1363,martinezystaneck.com.ar / FB e IG: martinezystaneck
MASSEY FERGUSON,"Máquinas agrícolas, maquinaria",Lote Aire Libre - 1214,masseyferguson.com.ar / FB e IG: masseyfergusonhispano / X: MF_Argentina
**MAXUS,KAIYI,AUSTONE**,"Automotrices, neumáticos"
MC PINTURAS,Pintura en la agroindustria,"Loma Verde, Escobar",mcpinturas.com.ar
MECANO GANADERO S.A.,"Industria, construcción, inst. ganaderas",Lote Aire Libre - 1250,"mecanoganadero.com.ar / FB, X e IG: mecanoganadero"
MEGA,"Secadoras de grano, renovables",Lote Aire Libre - 308,ingenieriamega.com / IG: ingenieriamega
MERCEDES-BENZ CAMIONES,Automotrices,Lote Aire Libre - 900,mercedes-benz-trucks.com.ar / FB e IG: mercedesbenzcamionesybuses_arg
MERCOBRAS S.A.,"Ag. precisión, meteorología, riego",Carpa 2 - 005,mercobras.com.ar
METALFOR,"Fabricante de maquinaria, pulverizadoras, cosechadoras",Lotes 630-640,"metalfor.com / FB, X e IG: metalforsa"
METALPAZ,Fabricación implementos agrícolas,Lote Aire Libre - 1251,metalpaz.com.ar / FB e IG: Metalpaz
METALURGICA CELE S.A.,"Sembradoras, rastras",Lote Aire Libre - 1343,celesa.com.ar / FB e IG: metalúrgica CELE S.A.
METALURGICA CINALLI,Implementos agrícolas,Lote Aire Libre - 1440,metcinalli.com.ar / FB e IG: metcinalli
METALURGICA DE 9 SRL,"Casillas, módulos, fabricante, alquiler",Lote Aire Libre - 222,mde9.com.ar / FB e IG: metalurgicade9srl
METALURGICA LF,"Fabricación implementos, soluciones agrícolas",Lote Aire Libre - 1425,metalurgicalf.com.ar / FB e IG: metalurgicalf
METRAIMPORT,Servicios,Carpa 2 - K10,No especificada
METZER ARGENTINA,Sistemas de riego agrícola,Lote Aire Libre - 461,"metzer.com.ar / FB, X e IG: Metzer Argentina"
MICHELIN,Neumáticos,Lote Aire Libre - P100,michelin.com.ar / FB e IG: Michelin Argentina
MICROELECT TECNOLOGIA,"Ag. precisión, monitoreo siembra",Carpa 1 - A07,microelect.com.ar / FB e IG: microelectoficial
MIGNANI SRL,"Rodamientos, lubricación, repuestos sembradoras",Carpa 1 - G02,"mignanisrl.com.ar / FB, X e IG: mignanisrl"
MIN. DESARROLLO AGR. PBA,"Asociaciones, entidades e instituciones",Lote Aire Libre - 210,"gba.gob.ar/desarrollo_agrario / FB, X e IG: agrariopba"
MIN. DES. PROD. SANTA FE,"Asociaciones, entidades e instituciones",Lote Aire Libre - P50,"santafe.gov.ar/produccion / FB, X e IG: desarrolloproductivosf"
MKL AGRO,"Tecnología, ag. precisión",Espacio AgTech - AG27,mklagro.com / IG: mklagro
MLS SEMBRADORAS,Sembradoras,Lote Aire Libre - 1420,mlssembradoras.com / FB e X: MLS Sembradoras
MOD. ARQ. MODULAR,"Módulos habitacionales, construcción, oficinas",Lote Aire Libre - 961,maduloscac.com / FB e IG: modarquitecturamodular
MONTANARI,Automotrices,Carpa 1 - D06,montanari.com.ar
MONTENEGRO S.A.,"Fab. maquinaria, tolvas, rastras, riego",Lote Aire Libre - 830,montenegroargentina.com / FB e IG: Montenegro Argentina
MONUMENTAL,"Sembradoras, máquinas agrícolas",Lote Aire Libre - P80,sembradorasmonumental.com / FB e IG: Sembradoras Monumental
MORO HIDRAULICA SRL,"Hidráulico, fab. componentes oleohidráulicos",Lote Aire Libre - 1367,morohidraulica.com.ar / FB e IG: morohidraulica
MOTORPART SRL,"Venta viales, tractores, repuestos",Lote Aire Libre - 1561,motorpart.com.ar / FB e IG: motorpart.vial
MOZZONI SRL,"Mixers, eq. ganadero, agroindustria",Lote Aire Libre - 1129,mozzoniweb.com.ar / FB e IG: mozzonifabrica
MUG4X4,Importaciones,Lote Aire Libre - 1466,mug4x4.com / FB e IG: mug4x4
MUNI. ESTEBAN ECHEVERRÍA,"Institución, medios de comunicación",Carpa 1 - B01,"estebanecheverria.gob.ar / FB, X e IG: municipioee"
MUNICIPALIDAD DE JUNIN,"Institución, turismo, servicios",Carpa 2 - 510,junin.tur.ar / FB e IG: Junín Turismo / X: Turismo Junin
MUNICIPALIDAD SAN NICOLÁS,"Institución, turismo, gastronomía, industria",Lote Aire Libre - 470,sannicolasciudad.gob.ar / FB e IG: SNciudad
MYNGROUP,"Productos y máquinas viales, repuestos",Lote Aire Libre - 1541,myngroup.com.ar / FB e IG: Myn.group
NALA CATERING,"Servicios catering, gastronomía, alimentos",Gastronomía,FB: Nala Catering / IG: cateringnala
NCH,Lubricación,Carpa 1 - H05,la.nch.com / IG: NCH Argentina / FB: NCHLatinoamerica
NEGOCIOS DE HACIENDA S.A.,Ganadería,Sector Ganadería,negociosdehacienda.com.ar / IG: negocios.de.hacienda
NERA,"Fintech, financiación, servicios financieros",Lote Aire Libre - 668,"nera-agro.com / FB, X e IG: nera.agro"
NETAFIM ARGENTINA SA,"Sistemas de riego, ag. precisión",Lote Aire Libre - 1332,"netafim.com / FB, X e IG: netafimargentina"
NEUMÁTICOS CORRAL,Neumáticos,Lote Aire Libre - 1422,neumaticoscorral.com.ar / FB: Neumaticos Corral / IG: neumaticoscorral
NEURALSOFT,Software de gestión,Carpa 2 - O 02,neuralsoft.com / IG: neuralsoft_erp
NEW HOLLAND ARGENTINA,"Máquinas agrícolas, tractores, cosechadoras",Lote Aire Libre - P30,"newholland.com / FB, X e IG: newhollandarg"
NIDERA SEMILLAS,Semillas,Plot - 250,"niderasemillas.com.ar / FB, X e IG: Niderasemillas"
NK SEMILLAS,Semillas,Plot - 230,"nksemillas.com.ar / FB, X e IG: nksemillas"
NORDHEIMER,"Inmobiliaria, asesoramiento y consultoría",Lote Aire Libre - E35,nordheimer.com / FB e IG: nordheimercamposyestancias
NORTENE PLASTICOS LTDA,"Silobolsa, geomembranas",Carpa 2 - S04,nortene.com.br / IG: nortenebrasil_oficial
NUMACO S.A.,"Artículos rurales, fabricante",Lote Aire Libre - 1428,numaco.com.ar / IG: numaco
O.H. GARCIA Y CÍA.,"Accesorios pulverizadoras, repuestos",Carpa 2 - S01,ohgarcia.com.ar / FB e IG: ohgarciaycia
OFFICE AMOBLAMIENTOS,"Muebles, oficinas móviles, construcción",Carpa 2 - M12,officeamoblamientos.com / FB e IG: officeamoblam
OMAR MARTIN,"Palas hidráulicas, retroexcavadoras",Lote Aire Libre - 1249,omarmartin.com.ar / FB e IG: omarmartinempresa
OMBU INDUMENTARIA,Indumentaria y calzado industrial,Lote Aire Libre - P40,ombuindumentaria.com.ar / FB e IG: ombuindumentaria
ORLANDI RURALES,Instalaciones ganaderas,Lote Aire Libre - 1610,orlandirurales.com / FB e IG: Orlandi Rurales SA
OSVALDO R. VARELA E HIJOS,"Inst. ganaderas, agroind., artículos rurales",Lote Aire Libre - 1461,varelarurales.com.ar / IG: varela_rurales
OVER MEDICINA VET.,Laboratorio veterinario,Ganadería - 1931,over.com.ar / FB e IG: over.med.vet
OXI MERCEDES S.A,"Herramientas, construcción, eq. industrial",Carpa 1 - H08,oximercedes.com.ar / FB e IG: oximercedes
PAIRGEARS LTD,"Engranajes, transmisiones, rodamientos",Carpa 2 - M13,pairgears.com / FB: PairGears LTD
PALOU,Extracción de granos en silos,Lote Aire Libre - 328,palou.com.ar / FB e IG: palou_oficial
PAMPERO,Indumentaria industrial y de protección,Centro Agropampero,pampero.com.ar / FB: pampero / IG: pamperousointensivo
PAMPERO IMPLEMENTOS,"Máquinas agrícolas, importaciones",Lote Aire Libre - 1252,mpampero.com.ar / IG: pampero.sa
PATAGON PERGAMINO,Gastronomía,Gastronomía,FB e IG: Patagon Pergamino
PATAGONIA CAMPERS,"Motorhome, casillas, vehículos",Lote Aire Libre - 1418,patagoniacampers.com / FB e IG: patagoniacampers / X: infocampers
PAUNY S.A.,"Tractores, fabricante",Lote Aire Libre - 510,pauny.com.ar / FB: pauny s.a. oficial / X e IG: PAUNY SA
PEDRO NOEL IREY SRL,Ganadería,Sector Ganadería - 1938,irey.com.ar / FB e IG: Pedro Noel Irey Srl
PENSAGRO,"Ganadería, alambrados, agroindustria",Sector Ganadería - 1942,pensagro.com / IG: pens_agro
PERSONAL TECH,"Tecnología, telecomunicaciones",Coworking 1 - 2,personal.com.ar/tech
PERTEN INSTRUMENTS,"Soluciones agrícolas, ag. precisión, tecnología",Carpa 1 - A09,"perkinelmer.com.ar / FB, X e IG: perkinelmer"
PHYSIS INFÓRMATICA,Software agropecuario,Carpa 1 - B10,physis.com.ar / FB e IG: physisinformatica
PIEROBON S.A.,"Sembradoras, embolsadora",Lote Aire Libre - 1044,pierobon.com.ar / FB e IG: pierobonsa / X: pierobonsa
PIERSANTI,"Cabezales, máquinas, cosechadoras",Lote Aire Libre - 1030,piersanti.com.ar / FB e IG: piersantiplataformas / X: PiersantiWeb
PLANTIUM,"Ag. precisión, tecnología, máquinas",Lote Aire Libre - 940,"plantium.com / FB, X e IG: plantiumag"
PLASTAR SAN LUIS S.A.,"Silobolsa, películas plásticas",Lote Aire Libre - 463,silobolsa.com / FB e IG: Silobolsa Plastar
PLASTICOS BONAVENTURA,"Plásticos para el agro, fabricante",Carpa 1 - A06,plasticosb.com.ar / FB e IG: plasticosbonaventura
PLATAFORMA CHACRA,"Medios de comunicación, servicios info",Lote Aire Libre - 1062,"revistachacra.com.ar / FB, X e IG: revistachacra"
PRADECON,"Industria, siderurgia",Lote Aire Libre - 1121,"pradecon.com.ar / FB, X e IG: PRADECONsa"
PRIORE AGROPARTES SRL,"Repuestos sembradoras, ag. precisión",Carpa 1 - I02,prioreagropartes.com.ar / FB e IG: prioreagropartes
PSA,Tratamiento de agua,Lote Aire Libre - 964,psa.com.ar / IG: psavida
PTX,"Ag. precisión, componentes pulverización",Lote Aire Libre - N01,"precisionplanting.com.ar / FB, X e IG: precisionplantingarg"
PUERTO SAN NICOLAS,"Infraestructura portuaria, logística, transporte",Lote Aire Libre - N75,puertosannicolas.com / FB e IG: puertosn
PUNA BIO,Biotecnología,Lote Aire Libre - 581,No especificada
QALA DESARROLLOS,"Construcción, inmobiliaria, viviendas",Coworking CW4,qaladesarrollos.com.ar / FB e IG: qaladesarrollos
QTS SRL,"Tecnología, software agro, monitoreo",Carpa 1 - G07,qtsagro.net / FB: qtssrl.argentina
RADIO DOS ROSARIO,Comunicaciones,Lote Aire Libre - M10,"rosario3.com / FB, X e IG: Radio2 Rosario"
RADIO MITRE,Medios de comunicación,Lote Aire Libre – M18,"ar.cienradios.com / FB, X e IG: radiomitre"
RADIO RIVADAVIA,"Medios de comunicación, prensa",Lote Aire Libre - M15,"rivadavia.com.ar / FB, X e IG: rivadavia630"
RAMAX AGRICULTURA,"Pulverizadoras, fertilización líquida",Lote Aire Libre - E14,ramax.com.ar / FB e IG: Ramax Agricultura
RC ONLINE - DJI AGRICULTURE,"Ag. precisión drones, capacitación",Sector Ganadería - 1916,djistore.com.ar / FB e IG: dji agriculture argentina
RECURSOS ORGÁNICOS,"Desmalezadoras, viales, soluciones",Lote Aire Libre - E21,recursos-organicos.com / FB e IG: recursos.organicos
REGGI Y CIA. S.R.L.,"Subastas, inmobiliaria, COMEX",Sector Ganadería,reggiycia.com / FB e IG: reggiyciasrl
REINKE IRRIGATION,Sistemas y equipos de riego,Lote Aire Libre - 1500,"reinke.com / FB, X e IG: reinkelatam"
RH WELDING MACHINES,Soldadura y corte,Carpa 2 - K02,ryhsa.com.ar / IG: rh_weldingmachines
RICHIGER MAQUINARIAS,"Fabricante maquinaria, implementos",Lote Aire Libre - 110,richiger.com.ar / FB e IG: richigermaquinarias
RIO URUGUAY SEGUROS (RUS),Aseguradoras,Lote Aire Libre - 120,riouruguay.com.ar / FB e IG: rusagroseguros
ROBINSON LOGISTICS,Logística,Carpa 2 - N02,robinsonlogistics.com.ar / IG: Robinson.logistics
ROLAND H/MAQUINON S.A,"Fabricante maquinaria, tractores",Lote Aire Libre - 369,rolandh.com / FB e IG: rolandhoficial
ROSGAN,"Asociaciones, ganadería",Sector Ganadería,"rosgan.com.ar / FB, X e IG: rosgan_bcr"
ROTOR TANQUES,"Tanques, remolques, riego, comederos",Lote Aire Libre - 870,rotortanques.com / FB e IG: rotortanques
RUIAN JIARUN NEW MATERIAL,"Plásticos para el agro, agroindustria",Carpa 1 - E04,chinanetwrap.com / FB: balernetwrap
RUNCO S.A.,"Ag. precisión, drones, tecnología",Lote Aire Libre - 329,agro.runco.com.ar / FB e IG: runcosa
SAENZ VALIENTE BULLRICH,Ganadería,Sector Ganadería - 1939,saenz-valiente.com / FB e IG: saenzvalientebullrich
SAFE MOTION,"Vehículos eléctricos, transporte",Lote Aire Libre - 880,safemotion.com.ar / FB e IG: safemotion
SCANIA ARGENTINA,"Automotrices, transporte, camiones",Lote Aire Libre - P20,"scania.com.ar / FB, X e IG: scaniaargentina"
SD DIRECCIONES,"Retenes, bombas, agropartes",Carpa 2 - N06,sddirecciones.com.ar / IG: sddirecciones
SEAN METAL SRL,"Inst. ganaderas, comederos, implementos",Lote Aire Libre - 1163,seanmetalsrl.com / FB e IG: seanmetalsrl
SEC. AGRICULTURA / PESCA,"Asociaciones, entidades e instituciones",Lote Aire Libre - P110,"argentina.gob.ar/agricultura / FB, X e IG: agriculturaar"
SEG INTERNATIONAL,"Importaciones, tecnología, seguridad",Carpa 2 - O07,seg.com.ar / FB e IG: SEG International
SENTIDOS,"Gastronomía, alimentos",Gastronomía,IG: sentidos.truck
SERQUIM SA,"Fertilizantes, agroquímicos, fabricante",Sector Ganadería - 1814,serquim.com.ar / FB e IG: serquim.ar
SERV. METEOROLÓGICO NAC.,"Meteorología, información",Centro Agropampero,"smn.gob.ar / FB, X e IG: smn_argentina"
SHACMAN,"Camiones, repuestos, importaciones",Lote Aire Libre - 1505,shacman.com.ar / FB e IG: shacman.arg
SHELL ARGENTINA,Petroleras,Lote Aire Libre - 1040,shell.com.ar / FB e IG: shell_argentina
SIDERSA,"Aceros, industria, siderurgia",Lote Aire Libre - M17,sidersa.com / X e IG: sidersa
SIEMBRA NEUMATICA SRL,"Sembradoras, ag. precisión, repuestos",Lote Aire Libre - 820,siembraneumaticasrl.com.ar / FB e IG: siembraneumatica.arg
SILOS FEYFE,"Silos y accesorios, comederos",Lote Aire Libre - 302,feyfe.com.ar / FB e IG: feyfe2020
SILOS MARISA,"Silos, mecanización, agroindustria",Sector Ganadería - 1810,marisa.com.ar / FB e IG: marisa.silos
SIMA,"Software agropecuario, tecnología",Espacio AgTech – AG05,"sima.ag / FB, X e IG: simaagtech"
SOUTHERN SEEDS PRODUCTION,"Agroindustria, semillas, granos",Carpa 1 - B09,sspseeds.com / IG: SSP_Food
SPRAYTEC,Desarrollo de fertilizantes,Plot - 340,spraytecargentina.com / FB e IG: Spraytecarg
SPRAYTEC S.R.L,Componentes de pulverización,Lote 965 / Carpa 1 - D02,spraytec.com.ar / FB e IG: spraytec_pulverizacion
STARA ARGENTINA S.A,"Fabricante, pulverizadoras, fertilizadoras",Lote Aire Libre - 1150,stara.com.ar / FB e IG: StaraArgentina
**STARLINK,INNOVA**,"Tecnología, telecomunicaciones",Coworking 4
STIHL MOTOIMPLEMENTOS,"Motosierras, mochilas pulverizadoras",Lote Aire Libre - 850,"stihl.com.ar / FB, X e IG: stihl_ar"
STINE SEMILLAS,Semillas,Plot - 450,"stinesemillas.com.ar / FB, X e IG: stinesemillas"
STRONG BLINDADOS,Automotrices,Lote Aire Libre - E34,strongblindados.com / FB e IG: strongblindados
SUMMIT AGRO ARGENTINA,"Agroquímicos, drones",Lote Aire Libre – P16,"summit-agro.com/ar/es / FB, X e IG: summitagroar"
SUPER WALTER,"Sembradoras, implementos, ag. precisión",Lote Aire Libre - 700,superwalter.com.ar / FB e IG: superwaltersembradoras
SUPRA SEMILLAS,"Semillas, insumos",Plot - 350,"suprasemillas.com.ar / FB, X e IG: suprasemillas"
**SV,SERVICIOS VIALES**,"Filtros, maquinaria, herramientas",Carpa 1 - F08
SYL IMPLEMENTOS,"Acoplados tolvas, fabricante",Lote Aire Libre - 1036A,FB e IG: Syl herramientas para campo
SYLWAN S.A.,"Bombas, equipos de riego, cabezales",Lote Aire Libre - 1501,sylwan.com.ar
SYRA,"Fertilizadoras, abonadoras, forrajes",Lote Aire Libre - 1131,syra.com.ar / FB e IG: syra s.a.
T-L / HMSA,"Sistemas riego, tanques, estaciones met.",Lote Aire Libre - 1255,"hmsa.com.ar / FB, X e IG: hmsariego"
TALABARTERÍA ARANDÚ,"Talabartería, artesanías, marroquinería",Ganadería - 1806,arandu.com.ar / FB e IG: arandu.talabarteria
TALIGENT,"Ag-Tech, software, servicios info",Espacio AgTech – AG31,taligent.com.ar / IG: taligent
TALLERES METAL. PRABA,"Pulverizadoras, accesorios",Lote Aire Libre - 1321,pulverizadorespraba.com / FB e IG: Pulverizadores praba
TANGOID SRL,"Tecnología, software, electrónica",Espacio AgTech - AG22,"tangoid.com.ar / FB, X e IG: tangoidarg"
TANZI,Sembradoras,Lote Aire Libre - 550,tanzi.com.ar / FB e IG: tanziagricultura
TAURO - SOLDADURA,"Soldadura, herramientas, eq. industrial",Carpa 1 - D10,tauro.com.ar / FB e IG: Soldadorastauro
TAURUS AGRICOLA,"Maquinas y herramientas, maquinaria vial",Lote Aire Libre - 1469,taurus.com.ar / IG: taurusagricola
